available_at_hour,review_count,lesson_count,next_reviews_at
2026-04-21 23:00:00+00:00,14,52,2026-04-21 23:00:00+00:00
2026-04-22 00:00:00+00:00,38,0,2026-04-21 23:00:00+00:00
2026-04-22 01:00:00+00:00,10,0,2026-04-21 23:00:00+00:00
2026-04-22 02:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 03:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 04:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 05:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 06:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 07:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 08:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 09:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 10:00:00+00:00,4,0,2026-04-21 23:00:00+00:00
2026-04-22 11:00:00+00:00,26,0,2026-04-21 23:00:00+00:00
2026-04-22 12:00:00+00:00,18,0,2026-04-21 23:00:00+00:00
2026-04-22 13:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 14:00:00+00:00,5,0,2026-04-21 23:00:00+00:00
2026-04-22 15:00:00+00:00,1,0,2026-04-21 23:00:00+00:00
2026-04-22 16:00:00+00:00,8,0,2026-04-21 23:00:00+00:00
2026-04-22 17:00:00+00:00,0,0,2026-04-21 23:00:00+00:00
2026-04-22 18:00:00+00:00,6,0,2026-04-21 23:00:00+00:00
2026-04-22 19:00:00+00:00,8,0,2026-04-21 23:00:00+00:00
2026-04-22 20:00:00+00:00,4,0,2026-04-21 23:00:00+00:00
2026-04-22 21:00:00+00:00,29,0,2026-04-21 23:00:00+00:00
2026-04-22 22:00:00+00:00,19,0,2026-04-21 23:00:00+00:00
2026-04-22 23:00:00+00:00,59,0,2026-04-21 23:00:00+00:00
