subject_id,subject_type,url,data_updated_at,data_created_at,data_level,data_slug,data_characters,data_lesson_position,data_spaced_repetition_system_id,data_hidden_at,has_reading,has_context_sentences,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
36,radical,https://api.wanikani.com/v2/subjects/36,2026-03-19 06:03:32.726396+00:00,2012-02-28 21:12:35+00:00,2,bow,弓,12,2,,0,0,0,13,0,0
37,radical,https://api.wanikani.com/v2/subjects/37,2026-01-16 13:39:34.753123+00:00,2012-02-28 21:12:56+00:00,2,flag,尸,13,2,,0,0,0,28,0,0
38,radical,https://api.wanikani.com/v2/subjects/38,2025-11-14 21:46:55.985219+00:00,2012-02-28 21:13:17+00:00,2,hair,彡,14,2,,0,0,0,16,0,0
39,radical,https://api.wanikani.com/v2/subjects/39,2025-10-01 06:09:46.636647+00:00,2012-02-28 21:13:36+00:00,2,five,五,15,2,,0,0,0,4,0,0
40,radical,https://api.wanikani.com/v2/subjects/40,2026-02-18 07:22:58.736332+00:00,2012-02-28 21:14:06+00:00,2,heaven,天,16,2,,0,0,0,12,0,0
41,radical,https://api.wanikani.com/v2/subjects/41,2025-11-18 20:06:01.259319+00:00,2012-02-28 21:14:49+00:00,2,hand,手,17,2,,0,0,0,7,0,0
42,radical,https://api.wanikani.com/v2/subjects/42,2025-11-11 01:12:11.505385+00:00,2012-02-28 21:15:10+00:00,2,writing,文,18,2,,0,0,0,5,0,0
43,radical,https://api.wanikani.com/v2/subjects/43,2026-04-08 06:30:43.680591+00:00,2012-02-28 21:15:35+00:00,2,moon,月,19,2,,0,0,0,67,0,0
44,radical,https://api.wanikani.com/v2/subjects/44,2026-03-29 18:12:37.987919+00:00,2012-02-28 21:16:08+00:00,2,stop,止,20,2,,0,0,0,16,0,0
45,radical,https://api.wanikani.com/v2/subjects/45,2025-11-26 18:53:56.467310+00:00,2012-02-28 21:16:27+00:00,2,water,水,0,2,,0,0,0,19,0,0
46,radical,https://api.wanikani.com/v2/subjects/46,2026-04-06 19:56:31.688597+00:00,2012-02-28 21:16:53+00:00,2,fire,火,22,2,,0,0,0,20,0,0
