review_stat_id,object,url,data_updated_at,data_created_at,subject_id,data_subject_type,data_meaning_correct,data_meaning_incorrect,data_meaning_max_streak,data_meaning_current_streak,data_reading_correct,data_reading_incorrect,data_reading_max_streak,data_reading_current_streak,data_percentage_correct,data_hidden
462441212,review_statistic,https://api.wanikani.com/v2/review_statistics/462441212,2025-07-30 01:47:58.306104+00:00,2025-02-03 05:00:53.921250+00:00,445,kanji,8,0,8,8,8,0,8,8,100,False
462441222,review_statistic,https://api.wanikani.com/v2/review_statistics/462441222,2025-07-29 20:07:13.210103+00:00,2025-02-03 05:01:00.600544+00:00,446,kanji,8,0,8,8,8,0,8,8,100,False
462441241,review_statistic,https://api.wanikani.com/v2/review_statistics/462441241,2025-07-29 20:07:39.331293+00:00,2025-02-03 05:01:07.183870+00:00,448,kanji,8,0,8,8,8,0,8,8,100,False
462441282,review_statistic,https://api.wanikani.com/v2/review_statistics/462441282,2025-07-29 11:45:36.765146+00:00,2025-02-03 05:01:25.056557+00:00,449,kanji,8,0,8,8,8,0,8,8,100,False
462441304,review_statistic,https://api.wanikani.com/v2/review_statistics/462441304,2025-12-04 08:47:22.687147+00:00,2025-02-03 05:01:37.917287+00:00,447,kanji,8,0,8,8,8,0,8,8,100,False
462441610,review_statistic,https://api.wanikani.com/v2/review_statistics/462441610,2026-01-13 08:01:42.231108+00:00,2025-02-03 05:04:36.299010+00:00,450,kanji,8,0,8,8,8,0,8,8,100,False
462441621,review_statistic,https://api.wanikani.com/v2/review_statistics/462441621,2025-07-29 11:48:09.897456+00:00,2025-02-03 05:04:43.406808+00:00,457,kanji,8,0,8,8,8,0,8,8,100,False
462441627,review_statistic,https://api.wanikani.com/v2/review_statistics/462441627,2025-12-04 08:48:38.981752+00:00,2025-02-03 05:04:48.348287+00:00,453,kanji,8,0,8,8,8,0,8,8,100,False
462441636,review_statistic,https://api.wanikani.com/v2/review_statistics/462441636,2025-11-08 01:10:37.012056+00:00,2025-02-03 05:04:53.000363+00:00,451,kanji,8,0,8,8,8,0,8,8,100,False
462441707,review_statistic,https://api.wanikani.com/v2/review_statistics/462441707,2025-10-19 03:07:09.840556+00:00,2025-02-03 05:05:25.047340+00:00,452,kanji,14,0,14,14,14,2,6,6,93,False
462442010,review_statistic,https://api.wanikani.com/v2/review_statistics/462442010,2025-07-29 20:13:03.269900+00:00,2025-02-03 05:07:52.634649+00:00,454,kanji,8,0,8,8,8,0,8,8,100,False
462442025,review_statistic,https://api.wanikani.com/v2/review_statistics/462442025,2025-07-29 11:55:54.025140+00:00,2025-02-03 05:08:00.286992+00:00,456,kanji,8,0,8,8,8,0,8,8,100,False
462442034,review_statistic,https://api.wanikani.com/v2/review_statistics/462442034,2025-07-29 11:49:20.064099+00:00,2025-02-03 05:08:05.199363+00:00,455,kanji,8,0,8,8,8,0,8,8,100,False
464595363,review_statistic,https://api.wanikani.com/v2/review_statistics/464595363,2025-08-02 21:34:48.432976+00:00,2025-02-06 21:05:28.025194+00:00,45,radical,8,0,8,8,8,0,8,8,100,False
464595400,review_statistic,https://api.wanikani.com/v2/review_statistics/464595400,2025-08-02 21:42:08.010967+00:00,2025-02-06 21:05:36.124258+00:00,2469,vocabulary,8,0,8,8,8,0,8,8,100,False
464595438,review_statistic,https://api.wanikani.com/v2/review_statistics/464595438,2025-08-02 21:56:44.615861+00:00,2025-02-06 21:05:48.578549+00:00,17,radical,8,0,8,8,8,0,8,8,100,False
464595450,review_statistic,https://api.wanikani.com/v2/review_statistics/464595450,2025-08-02 22:02:43.648811+00:00,2025-02-06 21:05:53.048608+00:00,2467,vocabulary,8,0,8,8,8,0,8,8,100,False
464595458,review_statistic,https://api.wanikani.com/v2/review_statistics/464595458,2025-08-02 21:55:26.287828+00:00,2025-02-06 21:05:57.094905+00:00,2468,vocabulary,8,0,8,8,8,0,8,8,100,False
464595896,review_statistic,https://api.wanikani.com/v2/review_statistics/464595896,2026-01-12 15:53:01.421783+00:00,2025-02-06 21:08:49.034495+00:00,467,kanji,8,0,8,8,8,0,8,8,100,False
464595933,review_statistic,https://api.wanikani.com/v2/review_statistics/464595933,2025-08-02 22:04:50.337508+00:00,2025-02-06 21:09:05.665931+00:00,2470,vocabulary,8,0,8,8,8,0,8,8,100,False
464595940,review_statistic,https://api.wanikani.com/v2/review_statistics/464595940,2025-08-26 22:31:35.369783+00:00,2025-02-06 21:09:09.247267+00:00,24,radical,11,1,6,6,11,0,11,11,96,False
464595951,review_statistic,https://api.wanikani.com/v2/review_statistics/464595951,2025-08-02 21:24:49.013079+00:00,2025-02-06 21:09:14.496436+00:00,26,radical,8,0,8,8,8,0,8,8,100,False
464596035,review_statistic,https://api.wanikani.com/v2/review_statistics/464596035,2025-08-02 22:06:28.050173+00:00,2025-02-06 21:09:21.096779+00:00,2471,vocabulary,8,0,8,8,8,0,8,8,100,False
464596353,review_statistic,https://api.wanikani.com/v2/review_statistics/464596353,2025-08-02 21:23:27.790936+00:00,2025-02-06 21:11:52.031801+00:00,27,radical,8,0,8,8,8,0,8,8,100,False
464596382,review_statistic,https://api.wanikani.com/v2/review_statistics/464596382,2025-08-13 21:45:14.784479+00:00,2025-02-06 21:12:11.762768+00:00,468,kanji,12,2,7,7,12,0,12,12,92,False
464596410,review_statistic,https://api.wanikani.com/v2/review_statistics/464596410,2025-08-02 21:46:41.409281+00:00,2025-02-06 21:12:23.811988+00:00,2472,vocabulary,8,0,8,8,8,0,8,8,100,False
