snapshot_date,subject_id,subject_type,data_level,data_srs_stage,pct_correct,total_attempts_est,total_incorrect,meaning_error_rate,reading_error_rate,data_meaning_current_streak,data_reading_current_streak,data_meaning_max_streak,data_reading_max_streak,age_days_since_unlocked,days_since_assignment_update,has_reading,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
2026-04-21,950,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340844236114,106.9029231320486,1,2,3,1,0
2026-04-21,3893,vocabulary,15,7,84.0,55.0,9.0,0.041666666666666664,0.25806451612903225,7.0,4.0,16.0,6.0,309.013408404537,21.90324343162037,1,3,0,0,2
2026-04-21,8952,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134083625,92.39842883141203,1,1,0,0,2
2026-04-21,244,radical,15,9,95.0,21.0,1.0,0.09090909090909091,0.0,9.0,10.0,9.0,10.0,309.0134083259838,103.4185718184838,0,0,3,0,0
2026-04-21,9036,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134082897801,93.16831274178242,1,2,0,0,1
2026-04-21,9049,vocabulary,15,9,93.0,28.0,2.0,0.0,0.13333333333333333,13.0,7.0,13.0,7.0,309.01340824712963,71.21401959256944,1,2,0,0,1
2026-04-21,9050,vocabulary,15,8,91.0,22.0,2.0,0.09090909090909091,0.09090909090909091,3.0,3.0,7.0,7.0,309.01340820894677,48.930392168449075,1,2,0,0,2
2026-04-21,9066,vocabulary,15,8,88.0,41.0,5.0,0.1,0.14285714285714285,16.0,3.0,16.0,7.0,309.0134081696759,35.113612093576386,1,2,0,0,2
2026-04-21,4218,vocabulary,15,6,87.0,39.0,5.0,0.19047619047619047,0.05555555555555555,3.0,10.0,9.0,10.0,309.01340812712965,5.456526109988426,1,2,0,0,2
2026-04-21,8783,radical,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134080803241,106.9112448833449,0,0,9,0,0
2026-04-21,9228,kana_vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134080384722,93.17228236075232,0,0,0,0,1
2026-04-21,9229,kana_vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340800037036,93.17196233945602,0,0,0,0,1
2026-04-21,9249,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134079533912,93.17189903484955,1,1,0,0,2
2026-04-21,9269,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134079086111,93.16815498670138,1,2,0,0,2
2026-04-21,2955,vocabulary,15,7,91.0,33.0,3.0,0.11764705882352941,0.0625,4.0,6.0,7.0,9.0,309.01340787244214,1.5099208633333332,1,2,0,0,1
2026-04-21,8824,radical,15,9,95.0,21.0,1.0,0.09090909090909091,0.0,8.0,10.0,8.0,10.0,309.01340783501155,106.90556340163194,0,0,4,0,0
2026-04-21,945,kanji,15,9,95.0,21.0,1.0,0.0,0.09090909090909091,10.0,8.0,10.0,8.0,309.01340779388886,106.90571525846065,1,1,6,5,0
2026-04-21,935,kanji,15,9,95.0,21.0,1.0,0.09090909090909091,0.0,9.0,10.0,9.0,10.0,309.0134077588079,106.90918758929399,1,2,7,3,0
2026-04-21,922,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134077173727,103.42093518336806,1,3,7,0,0
2026-04-21,955,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134076810185,103.41805092201389,1,2,8,7,0
2026-04-21,958,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134076437616,103.42349249057871,1,2,5,2,0
2026-04-21,3898,vocabulary,15,8,83.0,29.0,5.0,0.0,0.29411764705882354,12.0,3.0,12.0,8.0,309.01340759952546,42.00215104892361,1,2,0,0,1
2026-04-21,3138,vocabulary,15,9,93.0,30.0,2.0,0.125,0.0,6.0,14.0,6.0,14.0,309.0134075630787,38.91575212097222,1,2,0,0,1
2026-04-21,3575,vocabulary,15,9,88.0,25.0,3.0,0.0,0.21428571428571427,11.0,8.0,11.0,8.0,309.01340752761575,90.43500978793982,1,1,0,0,2
2026-04-21,3601,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340748466436,88.43362000385417,1,2,0,0,2
2026-04-21,9244,vocabulary,15,6,89.0,38.0,4.0,0.0,0.19047619047619047,17.0,1.0,17.0,6.0,309.01340744666663,8.062494209722221,1,1,0,0,2
2026-04-21,5501,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340741012734,86.36934240255788,1,2,0,0,1
2026-04-21,3895,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340736849534,88.43735848579861,1,3,0,0,2
2026-04-21,3900,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134073318634,88.43669377039352,1,2,0,0,1
2026-04-21,3901,vocabulary,15,9,95.0,19.0,1.0,0.0,0.1,9.0,9.0,9.0,9.0,309.0134072973611,86.37695810458332,1,1,0,0,1
2026-04-21,3905,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134072614699,88.43163361313657,1,2,0,0,2
2026-04-21,3942,vocabulary,15,8,95.0,21.0,1.0,0.09090909090909091,0.0,3.0,10.0,7.0,10.0,309.01340721752314,42.00195013829861,1,3,0,0,1
2026-04-21,3896,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134071823495,88.43395604591436,1,3,0,0,2
2026-04-21,3899,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134071465162,88.4362016546412,1,3,0,0,1
